Variable,Year,Value,RSE,State,Industry
Dairy cattle at June 30 (no.),1998,219,5,New South Wales,Dairy
Dairy cows at 30 June (no.),1998,131,6,New South Wales,Dairy
Beef bulls at 30 June (no.),1998,3,24,New South Wales,Mixed
Beef calves at 30 June (no.),1998,66,26,New South Wales,Mixed
Beef cows at 30 June (no.),1998,82,21,New South Wales,Mixed
Dairy cattle at June 30 (no.),1998,1,86,New South Wales,Mixed
Lambs at 30 June (no.),1998,634,12,New South Wales,Mixed
Sheep flock at 30 June (no.),1998,2234,9,New South Wales,Mixed
Beef bulls at 30 June (no.),1998,1,21,New South Wales,Sheep
Beef calves at 30 June (no.),1998,21,24,New South Wales,Sheep
Beef cows at 30 June (no.),1998,32,20,New South Wales,Sheep
Dairy cattle at June 30 (no.),1998,0,,New South Wales,Sheep
Lambs at 30 June (no.),1998,601,17,New South Wales,Sheep
Sheep flock at 30 June (no.),1998,2909,10,New South Wales,Sheep
Beef bulls at 30 June (no.),1998,6,23,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),1998,88,16,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),1998,123,19,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),1998,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),1998,272,23,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),1998,1732,22,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),1998,226,9,Northern Territory,All Broadacre
Beef calves at 30 June (no.),1998,1990,12,Northern Territory,All Broadacre
Beef cows at 30 June (no.),1998,3457,10,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),1998,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),1998,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),1998,0,,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),1998,226,9,Northern Territory,Beef
Beef calves at 30 June (no.),1998,1990,12,Northern Territory,Beef
Beef cows at 30 June (no.),1998,3457,10,Northern Territory,Beef
Dairy cattle at June 30 (no.),1998,0,,Northern Territory,Beef
Lambs at 30 June (no.),1998,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),1998,0,,Northern Territory,Beef
Beef bulls at 30 June (no.),1998,16,8,Queensland,All Broadacre
Beef calves at 30 June (no.),1998,209,7,Queensland,All Broadacre
Beef cows at 30 June (no.),1998,347,6,Queensland,All Broadacre
Dairy cattle at June 30 (no.),1998,0,,Queensland,All Broadacre
Lambs at 30 June (no.),1998,205,11,Queensland,All Broadacre
Sheep flock at 30 June (no.),1998,1070,7,Queensland,All Broadacre
Beef bulls at 30 June (no.),1998,26,10,Queensland,Beef
Beef calves at 30 June (no.),1998,321,9,Queensland,Beef
Beef cows at 30 June (no.),1998,530,8,Queensland,Beef
Dairy cattle at June 30 (no.),1998,0,,Queensland,Beef
Lambs at 30 June (no.),1998,39,104,Queensland,Beef
Sheep flock at 30 June (no.),1998,167,103,Queensland,Beef
Beef bulls at 30 June (no.),1998,3,42,Queensland,Cropping
Beef calves at 30 June (no.),1998,30,40,Queensland,Cropping
Beef cows at 30 June (no.),1998,40,33,Queensland,Cropping
Dairy cattle at June 30 (no.),1998,0,,Queensland,Cropping
Lambs at 30 June (no.),1998,23,59,Queensland,Cropping
Sheep flock at 30 June (no.),1998,73,50,Queensland,Cropping
Dairy cattle at June 30 (no.),1998,173,5,Queensland,Dairy
Dairy cows at 30 June (no.),1998,105,5,Queensland,Dairy
Beef bulls at 30 June (no.),1998,8,32,Queensland,Mixed
Beef calves at 30 June (no.),1998,121,15,Queensland,Mixed
Beef cows at 30 June (no.),1998,189,14,Queensland,Mixed
Dairy cattle at June 30 (no.),1998,0,,Queensland,Mixed
Lambs at 30 June (no.),1998,95,40,Queensland,Mixed
Sheep flock at 30 June (no.),1998,285,38,Queensland,Mixed
Beef bulls at 30 June (no.),1998,2,29,Queensland,Sheep
Beef calves at 30 June (no.),1998,35,31,Queensland,Sheep
Beef cows at 30 June (no.),1998,59,24,Queensland,Sheep
Dairy cattle at June 30 (no.),1998,0,,Queensland,Sheep
Lambs at 30 June (no.),1998,860,24,Queensland,Sheep
Sheep flock at 30 June (no.),1998,4914,15,Queensland,Sheep
Beef bulls at 30 June (no.),1998,13,16,Queensland,Sheep-Beef
Beef calves at 30 June (no.),1998,172,14,Queensland,Sheep-Beef
Beef cows at 30 June (no.),1998,326,16,Queensland,Sheep-Beef
Dairy cattle at June 30 (no.),1998,0,,Queensland,Sheep-Beef
Lambs at 30 June (no.),1998,928,16,Queensland,Sheep-Beef
Sheep flock at 30 June (no.),1998,4954,10,Queensland,Sheep-Beef
Beef bulls at 30 June (no.),1998,3,47,South Australia,All Broadacre
Beef calves at 30 June (no.),1998,26,30,South Australia,All Broadacre
Beef cows at 30 June (no.),1998,44,29,South Australia,All Broadacre
Dairy cattle at June 30 (no.),1998,0,123,South Australia,All Broadacre
Lambs at 30 June (no.),1998,440,11,South Australia,All Broadacre
Sheep flock at 30 June (no.),1998,1630,10,South Australia,All Broadacre
Beef bulls at 30 June (no.),1998,16,77,South Australia,Beef
Beef calves at 30 June (no.),1998,95,54,South Australia,Beef
Beef cows at 30 June (no.),1998,224,52,South Australia,Beef
Dairy cattle at June 30 (no.),1998,0,,South Australia,Beef
Lambs at 30 June (no.),1998,4,131,South Australia,Beef
Sheep flock at 30 June (no.),1998,18,131,South Australia,Beef
Beef bulls at 30 June (no.),1998,0,55,South Australia,Cropping
Beef calves at 30 June (no.),1998,4,45,South Australia,Cropping
Beef cows at 30 June (no.),1998,5,42,South Australia,Cropping
Dairy cattle at June 30 (no.),1998,1,117,South Australia,Cropping
Lambs at 30 June (no.),1998,272,16,South Australia,Cropping
Sheep flock at 30 June (no.),1998,900,16,South Australia,Cropping
Dairy cattle at June 30 (no.),1998,209,5,South Australia,Dairy
Dairy cows at 30 June (no.),1998,134,6,South Australia,Dairy
Beef bulls at 30 June (no.),1998,1,32,South Australia,Mixed
Beef calves at 30 June (no.),1998,15,48,South Australia,Mixed
Beef cows at 30 June (no.),1998,13,30,South Australia,Mixed
Dairy cattle at June 30 (no.),1998,0,,South Australia,Mixed
Lambs at 30 June (no.),1998,682,12,South Australia,Mixed
Sheep flock at 30 June (no.),1998,2218,10,South Australia,Mixed
Beef bulls at 30 June (no.),1998,2,57,South Australia,Sheep
Beef calves at 30 June (no.),1998,32,71,South Australia,Sheep
Beef cows at 30 June (no.),1998,42,63,South Australia,Sheep
Dairy cattle at June 30 (no.),1998,0,,South Australia,Sheep
Lambs at 30 June (no.),1998,716,45,South Australia,Sheep
Sheep flock at 30 June (no.),1998,3100,36,South Australia,Sheep
Beef bulls at 30 June (no.),1998,7,25,South Australia,Sheep-Beef
Beef calves at 30 June (no.),1998,95,22,South Australia,Sheep-Beef
Beef cows at 30 June (no.),1998,141,21,South Australia,Sheep-Beef
Dairy cattle at June 30 (no.),1998,0,,South Australia,Sheep-Beef
Lambs at 30 June (no.),1998,523,27,South Australia,Sheep-Beef
Sheep flock at 30 June (no.),1998,2468,13,South Australia,Sheep-Beef
Beef bulls at 30 June (no.),1998,5,13,Tasmania,All Broadacre
Beef calves at 30 June (no.),1998,69,13,Tasmania,All Broadacre
Beef cows at 30 June (no.),1998,107,9,Tasmania,All Broadacre
Dairy cattle at June 30 (no.),1998,0,,Tasmania,All Broadacre
Lambs at 30 June (no.),1998,492,13,Tasmania,All Broadacre
Sheep flock at 30 June (no.),1998,2301,10,Tasmania,All Broadacre
Beef bulls at 30 June (no.),1998,8,18,Tasmania,Beef
Beef calves at 30 June (no.),1998,141,15,Tasmania,Beef
Beef cows at 30 June (no.),1998,185,11,Tasmania,Beef
Dairy cattle at June 30 (no.),1998,0,,Tasmania,Beef
Lambs at 30 June (no.),1998,9,98,Tasmania,Beef
Sheep flock at 30 June (no.),1998,49,77,Tasmania,Beef
Dairy cattle at June 30 (no.),1998,304,9,Tasmania,Dairy
Dairy cows at 30 June (no.),1998,179,9,Tasmania,Dairy
Beef bulls at 30 June (no.),1998,3,31,Tasmania,Sheep
Beef calves at 30 June (no.),1998,27,34,Tasmania,Sheep
Beef cows at 30 June (no.),1998,49,24,Tasmania,Sheep
Dairy cattle at June 30 (no.),1998,0,,Tasmania,Sheep
Lambs at 30 June (no.),1998,803,14,Tasmania,Sheep
Sheep flock at 30 June (no.),1998,3899,10,Tasmania,Sheep
Beef bulls at 30 June (no.),1998,6,13,Tasmania,Sheep-Beef
Beef calves at 30 June (no.),1998,55,34,Tasmania,Sheep-Beef
Beef cows at 30 June (no.),1998,123,16,Tasmania,Sheep-Beef
Dairy cattle at June 30 (no.),1998,0,,Tasmania,Sheep-Beef
Lambs at 30 June (no.),1998,636,21,Tasmania,Sheep-Beef
Sheep flock at 30 June (no.),1998,2695,19,Tasmania,Sheep-Beef
Beef bulls at 30 June (no.),1998,2,11,Victoria,All Broadacre
Beef calves at 30 June (no.),1998,33,9,Victoria,All Broadacre
Beef cows at 30 June (no.),1998,47,8,Victoria,All Broadacre
Dairy cattle at June 30 (no.),1998,0,133,Victoria,All Broadacre
Lambs at 30 June (no.),1998,288,10,Victoria,All Broadacre
Sheep flock at 30 June (no.),1998,1351,7,Victoria,All Broadacre
Beef bulls at 30 June (no.),1998,4,17,Victoria,Beef
Beef calves at 30 June (no.),1998,86,11,Victoria,Beef
Beef cows at 30 June (no.),1998,122,11,Victoria,Beef
Dairy cattle at June 30 (no.),1998,0,133,Victoria,Beef
Lambs at 30 June (no.),1998,1,89,Victoria,Beef
Sheep flock at 30 June (no.),1998,9,49,Victoria,Beef
Beef bulls at 30 June (no.),1998,0,39,Victoria,Cropping
Beef calves at 30 June (no.),1998,11,53,Victoria,Cropping
Beef cows at 30 June (no.),1998,14,45,Victoria,Cropping
Dairy cattle at June 30 (no.),1998,0,,Victoria,Cropping
Lambs at 30 June (no.),1998,122,27,Victoria,Cropping
Sheep flock at 30 June (no.),1998,546,16,Victoria,Cropping
Dairy cattle at June 30 (no.),1998,273,3,Victoria,Dairy
Dairy cows at 30 June (no.),1998,183,4,Victoria,Dairy
Beef bulls at 30 June (no.),1998,1,38,Victoria,Mixed
Beef calves at 30 June (no.),1998,11,38,Victoria,Mixed
Beef cows at 30 June (no.),1998,20,30,Victoria,Mixed
Dairy cattle at June 30 (no.),1998,0,,Victoria,Mixed
Lambs at 30 June (no.),1998,434,20,Victoria,Mixed
Sheep flock at 30 June (no.),1998,1832,15,Victoria,Mixed
Beef bulls at 30 June (no.),1998,1,27,Victoria,Sheep
Beef calves at 30 June (no.),1998,9,29,Victoria,Sheep
Beef cows at 30 June (no.),1998,15,24,Victoria,Sheep
Dairy cattle at June 30 (no.),1998,0,,Victoria,Sheep
Lambs at 30 June (no.),1998,490,16,Victoria,Sheep
Sheep flock at 30 June (no.),1998,2532,11,Victoria,Sheep
Beef bulls at 30 June (no.),1998,3,19,Victoria,Sheep-Beef
Beef calves at 30 June (no.),1998,51,18,Victoria,Sheep-Beef
Beef cows at 30 June (no.),1998,64,16,Victoria,Sheep-Beef
Dairy cattle at June 30 (no.),1998,0,,Victoria,Sheep-Beef
Lambs at 30 June (no.),1998,308,20,Victoria,Sheep-Beef
Sheep flock at 30 June (no.),1998,1337,14,Victoria,Sheep-Beef
Beef bulls at 30 June (no.),1998,5,23,Western Australia,All Broadacre
Beef calves at 30 June (no.),1998,44,45,Western Australia,All Broadacre
Beef cows at 30 June (no.),1998,69,29,Western Australia,All Broadacre
Dairy cattle at June 30 (no.),1998,6,316,Western Australia,All Broadacre
Lambs at 30 June (no.),1998,718,11,Western Australia,All Broadacre
Sheep flock at 30 June (no.),1998,2869,9,Western Australia,All Broadacre
Beef bulls at 30 June (no.),1998,27,28,Western Australia,Beef
Beef calves at 30 June (no.),1998,240,61,Western Australia,Beef
Beef cows at 30 June (no.),1998,383,38,Western Australia,Beef
Dairy cattle at June 30 (no.),1998,44,316,Western Australia,Beef
Lambs at 30 June (no.),1998,17,148,Western Australia,Beef
Sheep flock at 30 June (no.),1998,47,132,Western Australia,Beef
Beef bulls at 30 June (no.),1998,0,70,Western Australia,Cropping
Beef calves at 30 June (no.),1998,5,77,Western Australia,Cropping
Beef cows at 30 June (no.),1998,6,79,Western Australia,Cropping
Dairy cattle at June 30 (no.),1998,0,,Western Australia,Cropping
Lambs at 30 June (no.),1998,472,19,Western Australia,Cropping
Sheep flock at 30 June (no.),1998,2187,13,Western Australia,Cropping
Dairy cattle at June 30 (no.),1998,260,10,Western Australia,Dairy
Dairy cows at 30 June (no.),1998,148,10,Western Australia,Dairy
Beef bulls at 30 June (no.),1998,1,60,Western Australia,Mixed
Beef calves at 30 June (no.),1998,5,60,Western Australia,Mixed
Beef cows at 30 June (no.),1998,11,64,Western Australia,Mixed
Dairy cattle at June 30 (no.),1998,0,,Western Australia,Mixed
Lambs at 30 June (no.),1998,1081,16,Western Australia,Mixed
Sheep flock at 30 June (no.),1998,3777,12,Western Australia,Mixed
Beef bulls at 30 June (no.),1998,2,92,Western Australia,Sheep
Beef calves at 30 June (no.),1998,19,70,Western Australia,Sheep
Beef cows at 30 June (no.),1998,23,68,Western Australia,Sheep
Dairy cattle at June 30 (no.),1998,0,,Western Australia,Sheep
Lambs at 30 June (no.),1998,720,25,Western Australia,Sheep
Sheep flock at 30 June (no.),1998,3784,23,Western Australia,Sheep
Beef bulls at 30 June (no.),1998,7,52,Western Australia,Sheep-Beef
Beef calves at 30 June (no.),1998,104,59,Western Australia,Sheep-Beef
Beef cows at 30 June (no.),1998,163,43,Western Australia,Sheep-Beef
Dairy cattle at June 30 (no.),1998,0,,Western Australia,Sheep-Beef
Lambs at 30 June (no.),1998,713,50,Western Australia,Sheep-Beef
Sheep flock at 30 June (no.),1998,3398,55,Western Australia,Sheep-Beef
Beef bulls at 30 June (no.),1999,5,15,New South Wales,All Broadacre
Beef calves at 30 June (no.),1999,59,10,New South Wales,All Broadacre
Beef cows at 30 June (no.),1999,98,8,New South Wales,All Broadacre
Dairy cattle at June 30 (no.),1999,1,86,New South Wales,All Broadacre
Lambs at 30 June (no.),1999,392,9,New South Wales,All Broadacre
Sheep flock at 30 June (no.),1999,1712,6,New South Wales,All Broadacre
Beef bulls at 30 June (no.),1999,8,17,New South Wales,Beef
Beef calves at 30 June (no.),1999,118,15,New South Wales,Beef
Beef cows at 30 June (no.),1999,189,12,New South Wales,Beef
Dairy cattle at June 30 (no.),1999,0,,New South Wales,Beef
Lambs at 30 June (no.),1999,32,54,New South Wales,Beef
Sheep flock at 30 June (no.),1999,137,44,New South Wales,Beef
Beef bulls at 30 June (no.),1999,1,20,New South Wales,Cropping
Beef calves at 30 June (no.),1999,29,24,New South Wales,Cropping
Beef cows at 30 June (no.),1999,43,21,New South Wales,Cropping
Dairy cattle at June 30 (no.),1999,0,,New South Wales,Cropping
Lambs at 30 June (no.),1999,299,22,New South Wales,Cropping
Sheep flock at 30 June (no.),1999,1244,17,New South Wales,Cropping
Dairy cattle at June 30 (no.),1999,246,5,New South Wales,Dairy
Dairy cows at 30 June (no.),1999,145,5,New South Wales,Dairy
Beef bulls at 30 June (no.),1999,4,22,New South Wales,Mixed
Beef calves at 30 June (no.),1999,50,25,New South Wales,Mixed
Beef cows at 30 June (no.),1999,81,17,New South Wales,Mixed
Dairy cattle at June 30 (no.),1999,3,86,New South Wales,Mixed
Lambs at 30 June (no.),1999,533,17,New South Wales,Mixed
Sheep flock at 30 June (no.),1999,1896,11,New South Wales,Mixed
Beef bulls at 30 June (no.),1999,1,26,New South Wales,Sheep
Beef calves at 30 June (no.),1999,20,34,New South Wales,Sheep
Beef cows at 30 June (no.),1999,36,30,New South Wales,Sheep
Dairy cattle at June 30 (no.),1999,0,,New South Wales,Sheep
Lambs at 30 June (no.),1999,590,11,New South Wales,Sheep
Sheep flock at 30 June (no.),1999,3184,7,New South Wales,Sheep
Beef bulls at 30 June (no.),1999,9,41,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),1999,74,18,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),1999,133,17,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),1999,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),1999,416,20,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),1999,2115,15,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),1999,230,11,Northern Territory,All Broadacre
Beef calves at 30 June (no.),1999,1671,10,Northern Territory,All Broadacre
Beef cows at 30 June (no.),1999,3676,9,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),1999,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),1999,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),1999,0,,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),1999,230,11,Northern Territory,Beef
Beef calves at 30 June (no.),1999,1671,10,Northern Territory,Beef
Beef cows at 30 June (no.),1999,3676,9,Northern Territory,Beef
Dairy cattle at June 30 (no.),1999,0,,Northern Territory,Beef
Lambs at 30 June (no.),1999,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),1999,0,,Northern Territory,Beef
Beef bulls at 30 June (no.),1999,20,16,Queensland,All Broadacre
Beef calves at 30 June (no.),1999,206,7,Queensland,All Broadacre
Beef cows at 30 June (no.),1999,341,7,Queensland,All Broadacre
Dairy cattle at June 30 (no.),1999,0,,Queensland,All Broadacre
Lambs at 30 June (no.),1999,228,15,Queensland,All Broadacre
Sheep flock at 30 June (no.),1999,1132,12,Queensland,All Broadacre
Beef bulls at 30 June (no.),1999,36,18,Queensland,Beef
Beef calves at 30 June (no.),1999,342,7,Queensland,Beef
Beef cows at 30 June (no.),1999,555,7,Queensland,Beef
Dairy cattle at June 30 (no.),1999,0,,Queensland,Beef
Lambs at 30 June (no.),1999,17,89,Queensland,Beef
Sheep flock at 30 June (no.),1999,110,96,Queensland,Beef
Beef bulls at 30 June (no.),1999,2,33,Queensland,Cropping
Beef calves at 30 June (no.),1999,28,41,Queensland,Cropping
Beef cows at 30 June (no.),1999,39,42,Queensland,Cropping
Dairy cattle at June 30 (no.),1999,0,,Queensland,Cropping
Lambs at 30 June (no.),1999,27,53,Queensland,Cropping
Sheep flock at 30 June (no.),1999,156,48,Queensland,Cropping
Dairy cattle at June 30 (no.),1999,189,5,Queensland,Dairy
Dairy cows at 30 June (no.),1999,114,5,Queensland,Dairy
Beef bulls at 30 June (no.),1999,7,20,Queensland,Mixed
Beef calves at 30 June (no.),1999,135,30,Queensland,Mixed
Beef cows at 30 June (no.),1999,169,28,Queensland,Mixed
Dairy cattle at June 30 (no.),1999,0,,Queensland,Mixed
Lambs at 30 June (no.),1999,164,40,Queensland,Mixed
Sheep flock at 30 June (no.),1999,490,44,Queensland,Mixed
Beef bulls at 30 June (no.),1999,3,44,Queensland,Sheep
Beef calves at 30 June (no.),1999,32,26,Queensland,Sheep
Beef cows at 30 June (no.),1999,54,24,Queensland,Sheep
Dairy cattle at June 30 (no.),1999,0,,Queensland,Sheep
Lambs at 30 June (no.),1999,963,22,Queensland,Sheep
Sheep flock at 30 June (no.),1999,5397,8,Queensland,Sheep
Beef bulls at 30 June (no.),1999,11,37,Queensland,Sheep-Beef
Beef calves at 30 June (no.),1999,146,27,Queensland,Sheep-Beef
Beef cows at 30 June (no.),1999,340,22,Queensland,Sheep-Beef
Dairy cattle at June 30 (no.),1999,0,,Queensland,Sheep-Beef
Lambs at 30 June (no.),1999,892,24,Queensland,Sheep-Beef
Sheep flock at 30 June (no.),1999,4235,22,Queensland,Sheep-Beef
Beef bulls at 30 June (no.),1999,2,20,South Australia,All Broadacre
Beef calves at 30 June (no.),1999,28,16,South Australia,All Broadacre
Beef cows at 30 June (no.),1999,46,14,South Australia,All Broadacre
Dairy cattle at June 30 (no.),1999,2,61,South Australia,All Broadacre
Lambs at 30 June (no.),1999,384,10,South Australia,All Broadacre
Sheep flock at 30 June (no.),1999,1555,7,South Australia,All Broadacre
Beef bulls at 30 June (no.),1999,6,40,South Australia,Beef
Beef calves at 30 June (no.),1999,72,37,South Australia,Beef
Beef cows at 30 June (no.),1999,159,27,South Australia,Beef
Dairy cattle at June 30 (no.),1999,0,,South Australia,Beef
Lambs at 30 June (no.),1999,22,99,South Australia,Beef
Sheep flock at 30 June (no.),1999,156,75,South Australia,Beef
Beef bulls at 30 June (no.),1999,0,27,South Australia,Cropping
Beef calves at 30 June (no.),1999,8,35,South Australia,Cropping
Beef cows at 30 June (no.),1999,12,26,South Australia,Cropping
Dairy cattle at June 30 (no.),1999,3,74,South Australia,Cropping
Lambs at 30 June (no.),1999,263,17,South Australia,Cropping
Sheep flock at 30 June (no.),1999,871,14,South Australia,Cropping
Dairy cattle at June 30 (no.),1999,219,7,South Australia,Dairy
Dairy cows at 30 June (no.),1999,142,6,South Australia,Dairy
Beef bulls at 30 June (no.),1999,0,31,South Australia,Mixed
Beef calves at 30 June (no.),1999,7,35,South Australia,Mixed
Beef cows at 30 June (no.),1999,11,31,South Australia,Mixed
Dairy cattle at June 30 (no.),1999,2,110,South Australia,Mixed
Lambs at 30 June (no.),1999,470,15,South Australia,Mixed
Sheep flock at 30 June (no.),1999,1755,9,South Australia,Mixed
Beef bulls at 30 June (no.),1999,2,38,South Australia,Sheep
Beef calves at 30 June (no.),1999,39,51,South Australia,Sheep
Beef cows at 30 June (no.),1999,54,43,South Australia,Sheep
Dairy cattle at June 30 (no.),1999,0,,South Australia,Sheep
Lambs at 30 June (no.),1999,1037,27,South Australia,Sheep
Sheep flock at 30 June (no.),1999,4735,17,South Australia,Sheep
Beef bulls at 30 June (no.),1999,10,33,South Australia,Sheep-Beef
Beef calves at 30 June (no.),1999,153,22,South Australia,Sheep-Beef
Beef cows at 30 June (no.),1999,212,19,South Australia,Sheep-Beef
Dairy cattle at June 30 (no.),1999,0,,South Australia,Sheep-Beef
Lambs at 30 June (no.),1999,586,28,South Australia,Sheep-Beef
Sheep flock at 30 June (no.),1999,3455,15,South Australia,Sheep-Beef
Beef bulls at 30 June (no.),1999,5,13,Tasmania,All Broadacre
Beef calves at 30 June (no.),1999,71,20,Tasmania,All Broadacre
Beef cows at 30 June (no.),1999,105,10,Tasmania,All Broadacre
Dairy cattle at June 30 (no.),1999,0,,Tasmania,All Broadacre
Lambs at 30 June (no.),1999,574,15,Tasmania,All Broadacre
Sheep flock at 30 June (no.),1999,2497,17,Tasmania,All Broadacre
Beef bulls at 30 June (no.),1999,7,19,Tasmania,Beef
Beef calves at 30 June (no.),1999,130,27,Tasmania,Beef
Beef cows at 30 June (no.),1999,165,13,Tasmania,Beef
Dairy cattle at June 30 (no.),1999,0,,Tasmania,Beef
Lambs at 30 June (no.),1999,1,106,Tasmania,Beef
Sheep flock at 30 June (no.),1999,17,64,Tasmania,Beef
Dairy cattle at June 30 (no.),1999,300,6,Tasmania,Dairy
Dairy cows at 30 June (no.),1999,181,5,Tasmania,Dairy
Beef bulls at 30 June (no.),1999,3,33,Tasmania,Sheep
Beef calves at 30 June (no.),1999,22,34,Tasmania,Sheep
Beef cows at 30 June (no.),1999,51,28,Tasmania,Sheep
Dairy cattle at June 30 (no.),1999,0,,Tasmania,Sheep
Lambs at 30 June (no.),1999,1043,20,Tasmania,Sheep
Sheep flock at 30 June (no.),1999,4540,23,Tasmania,Sheep
Beef bulls at 30 June (no.),1999,8,12,Tasmania,Sheep-Beef
Beef calves at 30 June (no.),1999,70,25,Tasmania,Sheep-Beef
Beef cows at 30 June (no.),1999,116,13,Tasmania,Sheep-Beef
Dairy cattle at June 30 (no.),1999,0,,Tasmania,Sheep-Beef
Lambs at 30 June (no.),1999,710,17,Tasmania,Sheep-Beef
Sheep flock at 30 June (no.),1999,3073,13,Tasmania,Sheep-Beef
Beef bulls at 30 June (no.),1999,2,11,Victoria,All Broadacre
Beef calves at 30 June (no.),1999,33,13,Victoria,All Broadacre
Beef cows at 30 June (no.),1999,49,10,Victoria,All Broadacre
Dairy cattle at June 30 (no.),1999,2,105,Victoria,All Broadacre
Lambs at 30 June (no.),1999,310,9,Victoria,All Broadacre
Sheep flock at 30 June (no.),1999,1462,7,Victoria,All Broadacre
Beef bulls at 30 June (no.),1999,3,17,Victoria,Beef
Beef calves at 30 June (no.),1999,71,19,Victoria,Beef
Beef cows at 30 June (no.),1999,106,14,Victoria,Beef
Dairy cattle at June 30 (no.),1999,1,123,Victoria,Beef
Lambs at 30 June (no.),1999,4,66,Victoria,Beef
Sheep flock at 30 June (no.),1999,18,73,Victoria,Beef
Beef bulls at 30 June (no.),1999,0,37,Victoria,Cropping
Beef calves at 30 June (no.),1999,6,45,Victoria,Cropping
Beef cows at 30 June (no.),1999,8,36,Victoria,Cropping
Dairy cattle at June 30 (no.),1999,0,,Victoria,Cropping
Lambs at 30 June (no.),1999,176,24,Victoria,Cropping
Sheep flock at 30 June (no.),1999,612,17,Victoria,Cropping
Dairy cattle at June 30 (no.),1999,275,4,Victoria,Dairy
Dairy cows at 30 June (no.),1999,181,4,Victoria,Dairy
Beef bulls at 30 June (no.),1999,1,39,Victoria,Mixed
Beef calves at 30 June (no.),1999,12,33,Victoria,Mixed
Beef cows at 30 June (no.),1999,21,26,Victoria,Mixed
Dairy cattle at June 30 (no.),1999,6,125,Victoria,Mixed
Lambs at 30 June (no.),1999,446,20,Victoria,Mixed
Sheep flock at 30 June (no.),1999,1636,16,Victoria,Mixed
Beef bulls at 30 June (no.),1999,1,27,Victoria,Sheep
Beef calves at 30 June (no.),1999,15,28,Victoria,Sheep
Beef cows at 30 June (no.),1999,20,22,Victoria,Sheep
Dairy cattle at June 30 (no.),1999,0,,Victoria,Sheep
Lambs at 30 June (no.),1999,634,11,Victoria,Sheep
Sheep flock at 30 June (no.),1999,3429,8,Victoria,Sheep
Beef bulls at 30 June (no.),1999,3,16,Victoria,Sheep-Beef
Beef calves at 30 June (no.),1999,52,20,Victoria,Sheep-Beef
Beef cows at 30 June (no.),1999,76,16,Victoria,Sheep-Beef
Dairy cattle at June 30 (no.),1999,0,115,Victoria,Sheep-Beef
Lambs at 30 June (no.),1999,225,30,Victoria,Sheep-Beef
Sheep flock at 30 June (no.),1999,1401,15,Victoria,Sheep-Beef
Beef bulls at 30 June (no.),1999,5,24,Western Australia,All Broadacre
Beef calves at 30 June (no.),1999,55,23,Western Australia,All Broadacre
Beef cows at 30 June (no.),1999,90,21,Western Australia,All Broadacre
Dairy cattle at June 30 (no.),1999,0,,Western Australia,All Broadacre
Lambs at 30 June (no.),1999,650,12,Western Australia,All Broadacre
Sheep flock at 30 June (no.),1999,2860,9,Western Australia,All Broadacre
Beef bulls at 30 June (no.),1999,24,29,Western Australia,Beef
Beef calves at 30 June (no.),1999,242,30,Western Australia,Beef
Beef cows at 30 June (no.),1999,411,28,Western Australia,Beef
Dairy cattle at June 30 (no.),1999,0,,Western Australia,Beef
Lambs at 30 June (no.),1999,15,84,Western Australia,Beef
Sheep flock at 30 June (no.),1999,60,67,Western Australia,Beef
Beef bulls at 30 June (no.),1999,0,,Western Australia,Cropping
Beef calves at 30 June (no.),1999,0,123,Western Australia,Cropping
Beef cows at 30 June (no.),1999,0,123,Western Australia,Cropping
Dairy cattle at June 30 (no.),1999,0,,Western Australia,Cropping
Lambs at 30 June (no.),1999,542,22,Western Australia,Cropping
Sheep flock at 30 June (no.),1999,2196,18,Western Australia,Cropping
Dairy cattle at June 30 (no.),1999,285,7,Western Australia,Dairy
Dairy cows at 30 June (no.),1999,167,7,Western Australia,Dairy
Beef bulls at 30 June (no.),1999,2,65,Western Australia,Mixed
Beef calves at 30 June (no.),1999,29,64,Western Australia,Mixed
Beef cows at 30 June (no.),1999,41,62,Western Australia,Mixed
Dairy cattle at June 30 (no.),1999,0,,Western Australia,Mixed
Lambs at 30 June (no.),1999,914,18,Western Australia,Mixed
